,Batch size,Search space size,Migrating clones F1,Migration graph F1
497,256,24414.0625,1.0,1.0
498,256,24414.0625,1.0,1.0
499,256,24414.0625,0.5714285714285714,0.6666666666666666
500,256,24414.0625,0.8571428571428572,0.8
501,256,24414.0625,1.0,0.7692307692307694
502,256,24414.0625,1.0,0.9090909090909091
503,256,24414.0625,0.75,0.5
504,256,24414.0625,1.0,1.0
505,256,24414.0625,1.0,1.0
506,256,24414.0625,0.7499999999999999,0.6666666666666666
507,256,24414.0625,0.8571428571428572,0.8
508,256,24414.0625,0.8571428571428572,0.7692307692307694
509,256,24414.0625,1.0,0.9090909090909091
510,256,24414.0625,0.75,0.5
511,256,24414.0625,1.0,1.0
512,256,24414.0625,1.0,1.0
513,256,24414.0625,0.5714285714285714,0.6666666666666666
514,256,24414.0625,0.8571428571428572,0.8
515,256,24414.0625,0.8571428571428572,0.7692307692307694
516,256,24414.0625,1.0,0.9090909090909091
517,256,24414.0625,0.5,0.5
518,256,24414.0625,1.0,1.0
519,256,24414.0625,1.0,1.0
520,256,24414.0625,0.5714285714285714,0.6666666666666666
521,256,24414.0625,0.8571428571428572,0.8
522,256,24414.0625,0.8571428571428572,0.7692307692307694
523,256,24414.0625,1.0,0.9090909090909091
524,256,24414.0625,0.5,0.5
525,256,195.3125,1.0,0.6000000000000001
526,256,195.3125,1.0,0.6000000000000001
527,256,195.3125,1.0,0.6000000000000001
528,256,195.3125,1.0,0.6000000000000001
529,256,195.3125,1.0,0.6000000000000001
530,256,76293945.3125,1.0,0.9230769230769229
531,256,76293945.3125,0.5714285714285714,0.8333333333333334
532,256,76293945.3125,0.75,0.875
533,256,76293945.3125,0.6666666666666666,0.2
534,256,76293945.3125,1.0,0.9230769230769229
535,256,76293945.3125,0.5714285714285714,0.8333333333333334
536,256,76293945.3125,0.6666666666666666,0.875
537,256,76293945.3125,0.6666666666666666,0.2
538,256,76293945.3125,1.0,0.9230769230769229
539,256,76293945.3125,0.5714285714285714,0.8333333333333334
540,256,76293945.3125,0.6666666666666666,0.875
541,256,76293945.3125,0.6666666666666666,0.2
542,256,76293945.3125,1.0,0.9230769230769229
543,256,76293945.3125,0.5714285714285714,0.8333333333333334
544,256,76293945.3125,0.6666666666666666,0.875
545,256,76293945.3125,0.6666666666666666,0.2
546,256,76293945.3125,1.0,0.9230769230769229
547,256,76293945.3125,0.5714285714285714,0.8333333333333334
548,256,76293945.3125,0.8571428571428572,0.875
549,256,76293945.3125,0.6666666666666666,0.2
550,256,15258789.0625,1.0,0.6153846153846154
551,256,15258789.0625,1.0,0.6153846153846154
552,256,15258789.0625,1.0,0.6153846153846154
553,256,15258789.0625,1.0,0.6153846153846154
554,256,15258789.0625,1.0,0.6153846153846154
555,256,1692665944.4736,1.0,0.9230769230769229
556,256,1692665944.4736,1.0,1.0
557,256,1692665944.4736,1.0,0.9230769230769229
558,256,1692665944.4736,1.0,0.7142857142857143
559,256,1692665944.4736,1.0,0.9230769230769229
560,256,1692665944.4736,1.0,0.7142857142857143
561,256,1692665944.4736,1.0,0.9230769230769229
562,256,1692665944.4736,1.0,0.7142857142857143
563,256,1692665944.4736,1.0,0.9230769230769229
564,256,1692665944.4736,1.0,0.7142857142857143
565,256,610351.5625,0.8571428571428572,0.5454545454545454
566,256,610351.5625,0.8571428571428572,0.5454545454545454
567,256,610351.5625,0.8571428571428572,0.5454545454545454
568,256,610351.5625,0.8571428571428572,0.5454545454545454
569,256,610351.5625,0.8571428571428572,0.5454545454545454
570,256,390982104858298.8,0.6666666666666666,0.8571428571428572
571,256,390982104858298.8,0.8,0.8571428571428572
572,256,390982104858298.8,0.9333333333333333,0.8571428571428572
573,256,390982104858298.8,0.6666666666666666,0.8571428571428572
574,256,390982104858298.8,0.8571428571428571,0.6666666666666666
575,256,47018498.4576,1.0,0.8333333333333334
576,256,47018498.4576,1.0,0.8333333333333334
577,256,47018498.4576,1.0,0.8333333333333334
578,256,47018498.4576,1.0,0.8333333333333334
579,256,47018498.4576,1.0,0.8333333333333334
580,256,7836416.4096,1.0,0.7692307692307694
581,256,7836416.4096,1.0,1.0
582,256,7836416.4096,1.0,0.7692307692307694
583,256,7836416.4096,1.0,1.0
584,256,7836416.4096,1.0,0.7692307692307694
585,256,7836416.4096,1.0,1.0
586,256,7836416.4096,1.0,0.7692307692307694
587,256,7836416.4096,1.0,1.0
588,256,7836416.4096,1.0,0.7692307692307694
589,256,7836416.4096,1.0,1.0
590,256,23263051398.7207,0.8888888888888888,0.1111111111111111
591,256,23263051398.7207,0.8888888888888888,0.4
592,256,23263051398.7207,0.8888888888888888,0.1111111111111111
593,256,23263051398.7207,0.8888888888888888,0.4
594,256,23263051398.7207,0.8888888888888888,0.1111111111111111
595,256,23263051398.7207,0.8888888888888888,0.4
596,256,23263051398.7207,0.8888888888888888,0.1111111111111111
597,256,23263051398.7207,0.8888888888888888,0.4
598,256,23263051398.7207,0.8888888888888888,0.1111111111111111
599,256,23263051398.7207,0.8888888888888888,0.4
600,256,5.233476330273605e+22,0.9090909090909091,0.3333333333333333
601,256,5.233476330273605e+22,1.0,0.823529411764706
602,256,5.233476330273605e+22,0.9090909090909091,0.3333333333333333
603,256,5.233476330273605e+22,1.0,0.3333333333333333
604,256,5.233476330273605e+22,1.0,0.823529411764706
605,256,115292150460684.7,1.0,1.0
606,256,115292150460684.7,1.0,0.875
607,256,115292150460684.7,1.0,0.875
608,256,115292150460684.7,1.0,0.7777777777777779
609,256,115292150460684.7,1.0,1.0
610,256,115292150460684.7,1.0,0.875
611,256,115292150460684.7,1.0,0.875
612,256,115292150460684.7,0.8,0.7777777777777779
613,256,115292150460684.7,1.0,1.0
614,256,115292150460684.7,1.0,0.875
615,256,115292150460684.7,1.0,0.875
616,256,115292150460684.7,1.0,0.7777777777777779
617,256,115292150460684.7,1.0,1.0
618,256,115292150460684.7,1.0,0.875
